Employee ID,Department,Job Role,Gender,Age,Hire Date,Years At Company,Education,Marital Status,Business Travel,OverTime,Distance From Home,Job Satisfaction,Performance Rating,Monthly Salary,Attrition
1138,Marketing,Marketing Specialist,Male,36,2020-02-08,5.9,Master,Single,Travel_Rarely,Yes,16,3,4,9539,No
1139,R&D,Lab Technician,Male,55,2018-09-15,7.3,Master,Married,Travel_Rarely,No,10,4,3,12947,No
1140,IT,IT Manager,Female,52,2012-08-10,13.4,Bachelor,Married,Travel_Rarely,No,9,4,4,13228,No
1141,Marketing,Marketing Specialist,Male,58,2007-10-24,18.2,Bachelor,Single,Travel_Rarely,No,4,2,3,12599,No
1142,IT,Data Analyst,Male,43,2018-05-28,7.6,PhD,Single,Travel_Rarely,Yes,24,4,3,14527,No
1143,Sales,Sales Executive,Male,38,2017-11-27,8.1,High School,Married,Non-Travel,Yes,24,1,3,10738,No
1144,R&D,Research Scientist,Male,38,2024-09-13,1.3,Bachelor,Married,Non-Travel,No,15,2,3,8598,Yes
1145,IT,IT Manager,Male,38,2025-05-26,0.6,Bachelor,Divorced,Travel_Frequently,No,18,1,1,12068,Yes
1146,IT,Data Analyst,Female,45,2024-05-26,1.6,Master,Married,Non-Travel,No,27,4,3,11469,No
1147,Sales,Account Manager,Male,28,2024-03-14,1.8,Bachelor,Divorced,Travel_Rarely,No,17,2,2,10277,No
1148,Sales,Sales Executive,Female,24,2025-04-20,0.7,Master,Married,Non-Travel,No,29,4,2,9343,No
1149,Marketing,Marketing Specialist,Female,48,2015-10-23,10.2,Bachelor,Married,Travel_Rarely,No,12,1,3,11311,No
1150,IT,QA Engineer,Male,46,2019-01-02,7.0,Bachelor,Single,Travel_Rarely,No,15,1,3,12013,Yes
1151,R&D,R&D Manager,Female,48,2022-03-15,3.8,Master,Single,Travel_Rarely,No,16,2,3,12267,Yes
1152,R&D,R&D Manager,Male,34,2024-10-19,1.2,Master,Married,Travel_Rarely,No,30,1,3,8226,No
1153,Marketing,Content Creator,Female,27,2021-11-26,4.1,PhD,Married,Travel_Frequently,No,8,4,3,7143,No
1154,Finance,Accountant,Male,26,2021-04-21,4.7,Bachelor,Single,Travel_Frequently,No,12,4,3,9364,No
1155,R&D,Lab Technician,Female,36,2014-07-05,11.5,PhD,Divorced,Non-Travel,No,23,4,3,11676,No
1156,Finance,Accountant,Male,55,2018-10-21,7.2,Bachelor,Married,Travel_Rarely,No,11,4,4,12398,No
1157,HR,HR Specialist,Male,55,2014-03-17,11.8,Master,Single,Travel_Frequently,No,19,4,3,10489,No
1158,R&D,Lab Technician,Male,54,2009-11-29,16.1,Bachelor,Divorced,Travel_Rarely,No,4,3,3,11768,No
1159,Marketing,Content Creator,Male,41,2012-08-10,13.4,Bachelor,Single,Travel_Rarely,No,14,1,2,10137,Yes
1160,Sales,Account Manager,Male,23,2024-11-25,1.1,Master,Married,Travel_Frequently,No,5,2,3,8858,Yes
1161,Marketing,Content Creator,Female,39,2024-02-07,1.9,Bachelor,Married,Non-Travel,No,19,2,4,9390,No
1162,Sales,Account Manager,Male,58,2006-10-24,19.2,High School,Married,Travel_Frequently,No,12,1,3,10879,No
1163,HR,HR Manager,Male,44,2019-02-08,6.9,Bachelor,Single,Travel_Rarely,No,4,2,3,6538,No
1164,Finance,Accountant,Male,58,2023-08-08,2.4,Bachelor,Married,Travel_Rarely,Yes,4,4,2,9843,No
1165,IT,IT Manager,Male,50,2010-08-11,15.4,Bachelor,Married,Travel_Rarely,No,21,4,3,14228,No
1166,IT,QA Engineer,Female,43,2007-07-07,18.5,High School,Married,Travel_Rarely,No,18,3,3,15303,No
1167,Finance,Accountant,Male,27,2025-07-02,0.5,Bachelor,Married,Non-Travel,No,22,4,3,10884,No
1168,Marketing,Content Creator,Female,46,2024-10-19,1.2,Bachelor,Divorced,Travel_Rarely,No,5,1,3,9761,No
1169,IT,Data Analyst,Male,48,2012-01-04,14.0,Master,Married,Travel_Frequently,No,21,1,3,14388,Yes
1170,Marketing,Marketing Manager,Male,25,2022-11-26,3.1,Master,Single,Travel_Rarely,Yes,3,4,3,10144,No
1171,Sales,Sales Executive,Female,40,2021-09-14,4.3,Bachelor,Single,Travel_Rarely,No,30,3,2,9715,No
1172,R&D,R&D Manager,Female,23,2024-04-20,1.7,Master,Single,Travel_Rarely,No,15,2,3,12145,Yes
1173,Finance,Accountant,Female,35,2022-02-07,3.9,Bachelor,Married,Non-Travel,Yes,8,2,3,8175,No
1174,HR,HR Manager,Male,60,2006-02-11,19.9,PhD,Married,Non-Travel,No,14,1,3,8580,Yes
1175,HR,Recruiter,Female,46,2024-08-08,1.4,Master,Divorced,Non-Travel,No,20,4,3,7264,No
1176,R&D,Lab Technician,Female,46,2022-07-03,3.5,Bachelor,Married,Travel_Rarely,No,15,2,4,10595,No
1177,IT,IT Manager,Male,40,2020-11-26,5.1,Bachelor,Single,Travel_Frequently,Yes,19,3,3,11335,Yes
1178,HR,HR Manager,Female,42,2021-10-20,4.2,Bachelor,Divorced,Travel_Rarely,No,5,1,2,10059,No
1179,Finance,Financial Analyst,Female,57,2014-02-09,11.9,Bachelor,Married,Non-Travel,Yes,5,1,1,10900,No
1180,Sales,Sales Manager,Female,36,2013-03-17,12.8,PhD,Single,Non-Travel,No,18,1,1,11507,No
1181,Sales,Account Manager,Female,52,2021-11-26,4.1,Master,Single,Non-Travel,No,15,2,2,8219,No
1182,Marketing,Marketing Manager,Female,36,2019-07-04,6.5,Bachelor,Married,Non-Travel,No,1,1,2,7908,No
1183,R&D,R&D Manager,Female,32,2016-03-16,9.8,Bachelor,Married,Travel_Rarely,No,7,1,3,11053,No
1184,Finance,Accountant,Male,58,2019-05-28,6.6,Bachelor,Single,Non-Travel,No,25,3,3,11439,No
1185,IT,Software Engineer,Male,24,2025-10-19,0.2,Master,Married,Non-Travel,No,17,3,3,12659,No
1186,Sales,Sales Manager,Female,37,2012-11-28,13.1,Bachelor,Single,Travel_Rarely,No,11,1,2,9871,No
1187,IT,Software Engineer,Male,53,2016-10-22,9.2,Bachelor,Married,Travel_Rarely,Yes,13,2,2,11868,No
1188,Sales,Sales Executive,Female,34,2021-07-03,4.5,Bachelor,Married,Travel_Rarely,No,29,1,3,7210,Yes
1189,IT,QA Engineer,Female,42,2013-03-17,12.8,Bachelor,Single,Travel_Rarely,No,22,4,3,13114,No
1190,R&D,Lab Technician,Male,36,2019-02-08,6.9,Bachelor,Divorced,Travel_Frequently,Yes,11,1,4,12329,Yes
1191,R&D,Research Scientist,Female,36,2012-11-28,13.1,Bachelor,Divorced,Non-Travel,No,16,3,3,12909,No
1192,Sales,Account Manager,Female,28,2023-04-21,2.7,Master,Married,Travel_Frequently,No,30,1,4,8615,Yes
1193,Sales,Sales Executive,Male,52,2025-08-07,0.4,Master,Married,Travel_Rarely,No,3,2,2,9307,No
1194,Finance,Accountant,Male,52,2023-05-27,2.6,PhD,Single,Travel_Rarely,No,1,4,3,8682,Yes
1195,Marketing,Marketing Specialist,Female,40,2017-08-09,8.4,Bachelor,Married,Travel_Rarely,No,21,4,1,9919,No
1196,IT,Data Analyst,Male,29,2018-02-08,7.9,Bachelor,Single,Travel_Frequently,Yes,5,1,3,11978,No
1197,R&D,Research Scientist,Male,59,2016-04-22,9.7,Bachelor,Single,Travel_Rarely,No,3,1,3,10081,No
1198,IT,QA Engineer,Male,32,2019-02-08,6.9,Bachelor,Married,Travel_Frequently,Yes,6,1,3,13635,Yes
1199,HR,HR Manager,Female,53,2014-07-05,11.5,Master,Divorced,Travel_Frequently,No,2,3,4,10861,Yes
1200,IT,Software Engineer,Female,55,2018-07-04,7.5,Bachelor,Married,Travel_Rarely,Yes,2,4,3,13176,No
1201,HR,HR Specialist,Female,35,2017-09-15,8.3,Bachelor,Married,Travel_Rarely,Yes,7,3,2,7360,Yes
1202,Finance,Financial Analyst,Male,42,2020-04-21,5.7,Bachelor,Single,Non-Travel,No,4,2,4,11040,No
1203,IT,IT Manager,Female,51,2009-11-29,16.1,Bachelor,Married,Travel_Frequently,No,9,4,4,12852,No
1204,IT,Data Analyst,Male,34,2013-03-17,12.8,Bachelor,Divorced,Travel_Rarely,No,5,2,4,13189,No
1205,R&D,R&D Manager,Female,60,2010-10-23,15.2,PhD,Married,Travel_Rarely,Yes,30,4,4,11803,No
1206,Finance,Finance Manager,Male,56,2016-04-22,9.7,Master,Single,Travel_Rarely,No,7,2,1,9844,No
1207,R&D,R&D Manager,Female,39,2010-01-04,16.0,Bachelor,Married,Travel_Rarely,Yes,23,1,4,11228,No
1208,Sales,Sales Manager,Female,41,2021-03-15,4.8,Bachelor,Married,Travel_Rarely,No,13,4,2,9801,No
1209,Sales,Sales Executive,Female,49,2008-02-11,17.9,Bachelor,Single,Travel_Rarely,No,13,1,3,11198,No
1210,R&D,Lab Technician,Female,44,2025-09-13,0.3,Bachelor,Married,Travel_Frequently,No,8,3,3,11204,No
1211,Finance,Financial Analyst,Male,54,2016-05-28,9.6,Master,Married,Travel_Rarely,No,26,1,3,11152,No
1212,Sales,Account Manager,Male,22,2025-02-06,0.9,Bachelor,Married,Travel_Rarely,No,29,2,4,8858,No
1213,Sales,Sales Executive,Male,29,2023-01-01,3.0,Master,Single,Non-Travel,No,26,3,1,8860,Yes
1214,IT,Data Analyst,Female,43,2009-05-30,16.6,High School,Single,Non-Travel,No,28,1,4,13451,No
1215,R&D,R&D Manager,Female,53,2019-05-28,6.6,Master,Single,Non-Travel,No,2,4,3,9979,No
1216,IT,QA Engineer,Male,30,2021-02-07,4.9,Bachelor,Single,Non-Travel,No,23,4,1,12169,No
1217,IT,Data Analyst,Male,35,2021-04-21,4.7,Bachelor,Married,Travel_Rarely,No,9,1,3,12977,Yes
1218,R&D,Lab Technician,Male,29,2021-03-15,4.8,Master,Single,Travel_Rarely,No,30,3,2,8971,No
1219,R&D,R&D Manager,Female,28,2025-11-25,0.1,Bachelor,Divorced,Travel_Rarely,No,13,3,3,11600,No
1220,IT,IT Manager,Female,32,2020-01-02,6.0,Master,Married,Travel_Rarely,No,12,4,4,12157,No
1221,Finance,Financial Analyst,Female,60,2019-04-22,6.7,Bachelor,Single,Non-Travel,No,18,3,3,9682,No
1222,R&D,Research Scientist,Female,32,2016-08-09,9.4,Master,Divorced,Non-Travel,No,13,1,2,11086,No
1223,R&D,Lab Technician,Female,25,2024-05-26,1.6,Bachelor,Married,Travel_Rarely,No,1,2,3,11871,Yes
1224,IT,QA Engineer,Female,25,2022-10-20,3.2,Bachelor,Single,Travel_Rarely,Yes,4,1,4,13539,No
1225,Finance,Finance Manager,Female,29,2018-07-04,7.5,PhD,Single,Travel_Rarely,No,2,2,2,9769,No
1226,IT,Software Engineer,Male,42,2017-11-27,8.1,Bachelor,Married,Non-Travel,No,28,2,3,11538,No
1227,Finance,Accountant,Female,57,2013-10-22,12.2,PhD,Single,Non-Travel,No,8,1,3,10404,No
1228,Finance,Finance Manager,Female,41,2022-01-01,4.0,Master,Single,Non-Travel,No,28,3,2,9756,Yes
1229,Sales,Account Manager,Male,43,2006-10-24,19.2,PhD,Single,Non-Travel,No,16,1,3,9582,No
1230,Finance,Financial Analyst,Male,57,2021-07-03,4.5,Master,Divorced,Non-Travel,No,9,4,3,9544,No
1231,R&D,Lab Technician,Female,41,2015-09-16,10.3,Bachelor,Single,Travel_Rarely,Yes,18,1,4,13516,Yes
1232,R&D,R&D Manager,Female,26,2021-08-08,4.4,Bachelor,Single,Travel_Rarely,No,18,2,3,11709,No
